N,time[ms]
100,0.12700
101,0.12700
102,0.13200
103,0.13200
104,0.13300
105,0.13600
106,0.14000
107,0.13500
108,0.12600
109,0.12800
110,0.13200
111,0.13500
112,0.13600
113,0.13800
114,0.14100
115,0.14400
116,0.14400
117,0.14700
118,0.15100
119,0.15200
120,0.15700
121,0.16000
122,0.16200
123,0.16200
124,0.16900
125,0.17000
126,0.17100
127,0.17200
128,0.17800
129,0.18100
130,0.18200
131,0.18400
132,0.18600
133,0.18900
134,0.19300
135,0.19500
136,0.19800
137,0.20000
138,0.20300
139,0.20600
140,0.20900
141,0.21100
142,0.21500
143,0.21800
144,0.22200
145,0.22400
146,0.22700
147,0.23100
148,0.21800
149,0.17300
150,0.17500
151,0.18200
152,0.16800
153,0.17100
154,0.17400
155,0.17600
156,0.17800
157,0.18000
158,0.18300
159,0.18600
160,0.18700
161,0.19600
162,0.19700
163,0.22100
164,0.19700
165,0.19900
166,0.20800
167,0.20600
168,0.20800
169,0.21000
170,0.21200
171,0.21400
172,0.21800
173,0.22000
174,0.22200
175,0.22400
176,0.22800
177,0.23000
178,0.23200
179,0.26100
180,0.23800
181,0.25600
182,0.25900
183,0.28800
184,0.24600
185,0.24900
186,0.25400
187,0.25600
188,0.26100
189,0.26200
190,0.26500
191,0.26800
192,0.27000
193,0.27100
194,0.27500
195,0.27700
196,0.28700
197,0.28400
198,0.28500
199,0.28900
200,0.29300
201,0.29700
202,0.30700
203,0.35500
204,0.30700
205,0.32200
206,0.31000
207,0.31400
208,0.31900
209,0.35000
210,0.32100
211,0.32400
212,0.32800
213,0.33000
214,0.33300
215,0.33600
216,0.33900
217,0.41500
218,0.40600
219,0.35500
220,0.35100
221,0.38000
222,0.35800
223,0.36100
224,0.36500
225,0.36900
226,0.42500
227,0.37500
228,0.40700
229,0.39400
230,0.38400
231,0.39000
232,0.39300
233,0.39800
234,0.39800
235,0.41400
236,0.40600
237,0.40900
238,0.41900
239,0.42200
240,0.42100
241,0.42600
242,0.42700
243,0.43900
244,0.43200
245,0.43800
246,0.44800
247,0.47400
248,0.48900
249,0.49300
250,0.48000
251,0.47800
252,0.49800
253,0.50500
254,0.56600
255,0.58900
256,0.52500
257,0.50700
258,0.54800
259,0.50900
260,0.53400
261,0.52900
262,0.53900
263,0.51200
264,0.51500
265,0.51000
266,0.54400
267,0.54200
268,0.53500
269,0.52900
270,0.53300
271,0.54000
272,0.55000
273,0.54500
274,0.54800
275,0.56400
276,0.55300
277,0.56300
278,0.56700
279,0.57000
280,0.62000
281,0.58700
282,0.58100
283,0.59600
284,0.58600
285,0.61800
286,0.59400
287,0.60900
288,0.63700
289,0.65000
290,0.65000
291,0.61000
292,0.61400
293,0.62300
294,0.64800
295,0.62600
296,0.65100
297,0.63600
298,0.64100
299,0.66700
300,0.64600
301,0.65900
302,0.66900
303,0.66700
304,0.69000
305,0.67700
306,0.72200
307,0.69800
308,0.71800
309,0.68500
310,0.71800
311,0.75600
312,0.80700
313,0.70600
314,0.71000
315,0.75900
316,0.71900
317,0.76500
318,0.75200
319,0.76500
320,0.73700
321,0.76000
322,0.78700
323,0.75400
324,0.75500
325,0.78700
326,0.78900
327,0.77900
328,0.77800
329,0.82200
330,0.83700
331,0.86000
332,0.84600
333,0.83800
334,0.85700
335,0.82300
336,0.81000
337,0.81900
338,0.82500
339,0.86400
340,0.85500
341,0.85600
342,0.86100
343,0.85600
344,0.87300
345,0.89300
346,0.90600
347,0.87000
348,0.90900
349,0.90500
350,0.95200
351,0.96900
352,0.95300
353,0.89400
354,0.90000
355,0.91900
356,0.92100
357,0.91600
358,0.92400
359,0.93100
