N,time[ms]
100,0.00400
101,0.00300
102,0.00300
103,0.00300
104,0.00300
105,0.00300
106,0.00300
107,0.00200
108,0.00300
109,0.00300
110,0.00300
111,0.00300
112,0.00300
113,0.00300
114,0.00300
115,0.00300
116,0.00300
117,0.00300
118,0.00300
119,0.00400
120,0.00300
121,0.00300
122,0.00300
123,0.00700
124,0.00300
125,0.00400
126,0.00300
127,0.00400
128,0.00400
129,0.00300
130,0.00300
131,0.00300
132,0.00400
133,0.00300
134,0.00400
135,0.00400
136,0.00400
137,0.00300
138,0.00400
139,0.00400
140,0.00400
141,0.00300
142,0.00400
143,0.00300
144,0.00400
145,0.00400
146,0.00300
147,0.00400
148,0.00300
149,0.00400
150,0.00400
151,0.00400
152,0.00400
153,0.00500
154,0.00400
155,0.00400
156,0.00400
157,0.00400
158,0.00400
159,0.00400
160,0.00400
161,0.00300
162,0.00400
163,0.00400
164,0.00500
165,0.00400
166,0.00400
167,0.00400
168,0.00500
169,0.00400
170,0.00400
171,0.00500
172,0.00400
173,0.00500
174,0.00400
175,0.00500
176,0.00400
177,0.00500
178,0.00400
179,0.00400
180,0.00400
181,0.00400
182,0.00400
183,0.00400
184,0.00400
185,0.00400
186,0.00400
187,0.00400
188,0.00400
189,0.00400
190,0.00400
191,0.00500
192,0.00500
193,0.00400
194,0.00500
195,0.00400
196,0.00500
197,0.00400
198,0.00500
199,0.00500
200,0.00400
201,0.00500
202,0.00500
203,0.00500
204,0.00400
205,0.00500
206,0.00400
207,0.00500
208,0.00500
209,0.00500
210,0.00500
211,0.00500
212,0.00400
213,0.00400
214,0.00500
215,0.00500
216,0.00500
217,0.00500
218,0.00500
219,0.00500
220,0.00500
221,0.00500
222,0.00500
223,0.00500
224,0.00600
225,0.00400
226,0.00500
227,0.00500
228,0.00500
229,0.00500
230,0.00500
231,0.00500
232,0.00600
233,0.00500
234,0.00500
235,0.00600
236,0.00400
237,0.00500
238,0.00400
239,0.00500
240,0.00500
241,0.00500
242,0.00500
243,0.00500
244,0.00500
245,0.00400
246,0.00500
247,0.00500
248,0.00400
249,0.00500
250,0.00400
251,0.00500
252,0.00500
253,0.00500
254,0.00500
255,0.00500
256,0.00500
257,0.00500
258,0.00500
259,0.00500
260,0.00500
261,0.00500
262,0.00500
263,0.00500
264,0.00600
265,0.00500
266,0.00500
267,0.00500
268,0.00600
269,0.00500
270,0.00600
271,0.00600
272,0.00500
273,0.00500
274,0.00500
275,0.00600
276,0.00500
277,0.00600
278,0.00600
279,0.00500
280,0.00500
281,0.00600
282,0.00500
283,0.00600
284,0.00500
285,0.00600
286,0.00600
287,0.00600
288,0.00600
289,0.00500
290,0.00600
291,0.00500
292,0.00600
293,0.00600
294,0.00600
295,0.00500
296,0.00600
297,0.00600
298,0.00600
299,0.00600
300,0.00600
301,0.00700
302,0.00600
303,0.00600
304,0.00700
305,0.00600
306,0.00600
307,0.00600
308,0.00500
309,0.00600
310,0.00600
311,0.00600
312,0.00600
313,0.00600
314,0.00500
315,0.00600
316,0.00700
317,0.00600
318,0.00600
319,0.00600
320,0.00700
321,0.00700
322,0.00600
323,0.00600
324,0.00600
325,0.00600
326,0.00600
327,0.00600
328,0.00600
329,0.00600
330,0.00600
331,0.00600
332,0.00600
333,0.00600
334,0.00700
335,0.00700
336,0.00600
337,0.00600
338,0.00600
339,0.00700
340,0.00600
341,0.00700
342,0.00600
343,0.00700
344,0.00800
345,0.00600
346,0.00700
347,0.00600
348,0.00700
349,0.00700
350,0.00700
351,0.00800
352,0.00700
353,0.00700
354,0.00700
355,0.00600
356,0.00700
357,0.00600
358,0.00700
359,0.00700
360,0.00700
361,0.00700
362,0.00700
363,0.00600
364,0.00700
365,0.00800
366,0.00800
367,0.00700
368,0.00700
369,0.00700
370,0.00700
371,0.00700
372,0.00700
373,0.00700
374,0.00700
375,0.00700
376,0.00700
377,0.00800
378,0.00700
379,0.00800
380,0.00600
381,0.00800
382,0.00700
383,0.00700
384,0.00800
385,0.00700
386,0.00700
387,0.00700
388,0.00700
389,0.00800
390,0.00700
391,0.00700
392,0.00800
393,0.00700
394,0.00700
395,0.00700
396,0.00800
397,0.00700
398,0.00700
399,0.00800
400,0.00800
401,0.00800
402,0.00700
403,0.00700
404,0.00800
405,0.00800
406,0.00700
407,0.00700
408,0.00800
409,0.00700
410,0.00700
411,0.00700
412,0.00700
413,0.00700
414,0.00800
415,0.00800
416,0.00700
417,0.00800
418,0.00700
419,0.00700
420,0.00800
421,0.00800
422,0.00800
423,0.00800
424,0.00800
425,0.00700
426,0.00800
427,0.00800
428,0.00800
429,0.00800
430,0.00800
431,0.00800
432,0.00800
433,0.00700
434,0.00800
435,0.00900
436,0.00700
437,0.00800
438,0.00800
439,0.00800
440,0.00800
441,0.00900
442,0.00800
443,0.00800
444,0.00800
445,0.00800
446,0.00800
447,0.00800
448,0.00700
449,0.00700
450,0.00800
451,0.00800
452,0.00900
453,0.00800
454,0.00800
455,0.00800
456,0.00800
457,0.00800
458,0.00900
459,0.00800
460,0.00800
461,0.00800
462,0.00900
463,0.00800
464,0.00900
465,0.00800
466,0.00900
467,0.00900
468,0.00800
469,0.00900
470,0.00800
471,0.00800
472,0.00800
473,0.00900
474,0.00800
475,0.00900
476,0.00800
477,0.00900
478,0.00900
479,0.01000
480,0.00800
481,0.00900
482,0.00800
483,0.00800
484,0.00900
485,0.00900
486,0.01000
487,0.00900
488,0.00900
489,0.00900
490,0.00900
