N,time[ms]
100,0.12100
101,0.12600
102,0.12200
103,0.12400
104,0.12600
105,0.12400
106,0.13500
107,0.13800
108,0.13900
109,0.14000
110,0.14000
111,0.15400
112,0.16000
113,0.14900
114,0.13300
115,0.13300
116,0.13500
117,0.14300
118,0.14200
119,0.15100
120,0.14600
121,0.15100
122,0.15200
123,0.15600
124,0.15900
125,0.15500
126,0.15500
127,0.17000
128,0.17500
129,0.16400
130,0.18100
131,0.18300
132,0.18000
133,0.18000
134,0.17900
135,0.13400
136,0.13000
137,0.13700
138,0.13700
139,0.14200
140,0.14800
141,0.14400
142,0.14800
143,0.13500
144,0.14000
145,0.14300
146,0.14500
147,0.15200
148,0.14500
149,0.15000
150,0.14500
151,0.17500
152,0.15600
153,0.15600
154,0.18500
155,0.15900
156,0.16800
157,0.16300
158,0.16900
159,0.17300
160,0.16200
161,0.17700
162,0.17400
163,0.19300
164,0.17700
165,0.18100
166,0.18800
167,0.17900
168,0.18800
169,0.19400
170,0.18800
171,0.19100
172,0.19600
173,0.19900
174,0.20200
175,0.21100
176,0.20900
177,0.20400
178,0.21500
179,0.21200
180,0.22500
181,0.22700
182,0.22500
183,0.22000
184,0.25600
185,0.23600
186,0.23100
187,0.24100
188,0.24300
189,0.23800
190,0.24000
191,0.23400
192,0.26400
193,0.24300
194,0.25000
195,0.26600
196,0.26400
197,0.26500
198,0.27300
199,0.26700
200,0.27800
201,0.26800
202,0.28500
203,0.30400
204,0.28700
205,0.30000
206,0.31800
207,0.30000
208,0.29300
209,0.28800
210,0.29400
211,0.29300
212,0.29900
213,0.31400
214,0.30100
215,0.30900
216,0.31900
217,0.31800
218,0.32600
219,0.31500
220,0.32800
221,0.32800
222,0.34200
223,0.32100
224,0.33600
225,0.33400
226,0.35900
227,0.34700
228,0.36300
229,0.34600
230,0.34800
231,0.36100
232,0.38400
233,0.35700
234,0.36100
235,0.37000
236,0.37900
237,0.39000
238,0.39000
239,0.39400
240,0.38700
241,0.42000
242,0.40600
243,0.39200
244,0.44800
245,0.40900
246,0.42700
247,0.45500
248,0.46000
249,0.43300
250,0.44800
251,0.46100
252,0.45600
253,0.43300
254,0.42900
255,0.45500
256,0.44000
257,0.50100
258,0.45800
259,0.46300
260,0.46900
261,0.46700
262,0.46800
263,0.49400
264,0.50900
265,0.49200
266,0.49800
267,0.50700
268,0.47000
269,0.47600
270,0.52100
271,0.47400
272,0.51500
273,0.48400
274,0.50300
275,0.52000
276,0.51800
277,0.51900
278,0.51900
279,0.52200
280,0.51000
281,0.57300
282,0.55200
283,0.56200
284,0.54200
285,0.55300
286,0.53900
287,0.58000
288,0.59600
289,0.54900
290,0.55700
291,0.58800
292,0.62400
293,0.58500
294,0.57000
295,0.60200
296,0.57200
297,0.61800
298,0.63600
299,0.60000
300,0.63700
301,0.63500
302,0.61600
303,0.60700
