N,time[ms]
10,0.02100
11,0.00600
12,0.00600
13,0.00700
14,0.00600
15,0.00700
16,0.00700
17,0.00600
18,0.00600
19,0.00600
20,0.00600
21,0.00600
22,0.00700
23,0.00600
24,0.00700
25,0.00700
26,0.00700
27,0.01600
28,0.00700
29,0.00600
30,0.00600
31,0.00600
32,0.00600
33,0.00600
34,0.00700
35,0.00600
36,0.00600
37,0.00700
38,0.00600
39,0.00600
40,0.00800
41,0.00600
42,0.00700
43,0.02100
44,0.00700
45,0.00700
46,0.00700
47,0.00700
48,0.00700
49,0.00700
50,0.00700
51,0.00800
52,0.00700
53,0.00800
54,0.00800
55,0.00700
56,0.00700
57,0.00700
58,0.00700
59,0.00700
60,0.00700
61,0.00800
62,0.00700
63,0.00900
64,0.00800
65,0.00700
66,0.00700
67,0.00600
68,0.00800
69,0.00800
70,0.00800
71,0.00800
72,0.00800
73,0.00800
74,0.00900
75,0.00900
76,0.00900
77,0.00900
78,0.00900
79,0.00900
80,0.01000
81,0.01000
82,0.00900
83,0.01000
84,0.01000
85,0.01000
86,0.01000
87,0.00900
88,0.01200
89,0.01000
90,0.01000
91,0.01000
92,0.01000
93,0.01000
94,0.01100
95,0.01000
96,0.01000
97,0.01000
98,0.01100
99,0.01000
100,0.01000
101,0.01000
102,0.00900
103,0.00900
104,0.00900
105,0.01400
106,0.01100
107,0.01100
108,0.01100
109,0.01100
110,0.01100
111,0.01100
112,0.01100
113,0.01200
114,0.01100
115,0.01100
116,0.01100
117,0.01200
118,0.01200
119,0.01200
120,0.01100
121,0.01200
122,0.01200
123,0.01200
124,0.01200
125,0.01200
126,0.01200
127,0.01400
128,0.01200
129,0.01100
130,0.01200
131,0.01200
132,0.01200
133,0.01200
134,0.01200
135,0.01200
136,0.01200
137,0.01300
138,0.01200
139,0.01500
140,0.01300
141,0.01300
142,0.01200
143,0.01300
144,0.01300
145,0.01300
146,0.01300
147,0.01300
148,0.01300
149,0.01300
150,0.01200
151,0.01300
152,0.01300
153,0.01300
154,0.01300
155,0.01300
156,0.01300
157,0.01300
158,0.01400
159,0.01300
160,0.01300
161,0.01400
162,0.01400
163,0.01400
164,0.01300
165,0.01300
166,0.01300
167,0.01300
168,0.01300
169,0.01300
170,0.01300
171,0.01400
172,0.01300
173,0.01300
174,0.01400
175,0.01300
176,0.01300
177,0.01400
178,0.01300
179,0.01600
180,0.01200
181,0.01100
182,0.01100
183,0.01100
184,0.01100
185,0.01100
186,0.01100
187,0.01200
188,0.01200
189,0.01200
190,0.01600
191,0.01200
192,0.01100
193,0.01300
194,0.01300
195,0.01200
196,0.01200
197,0.01200
198,0.01200
199,0.01200
200,0.01200
201,0.01300
202,0.01200
203,0.01300
204,0.01300
205,0.01300
206,0.01200
207,0.01300
208,0.01200
209,0.01200
210,0.01300
211,0.01200
212,0.01300
213,0.01200
214,0.01300
215,0.01300
216,0.01300
217,0.01300
218,0.01300
219,0.01300
220,0.01300
221,0.01400
222,0.01300
223,0.01300
224,0.01300
225,0.01300
226,0.01300
227,0.01300
228,0.01200
229,0.01200
230,0.01200
231,0.01200
232,0.01300
233,0.01300
234,0.01300
235,0.01300
236,0.01300
237,0.01300
238,0.01300
239,0.01300
240,0.01300
241,0.01600
242,0.01300
243,0.01300
244,0.01300
245,0.01300
246,0.01300
247,0.01300
248,0.01300
249,0.01300
250,0.01400
251,0.01300
252,0.01300
253,0.01400
254,0.01400
255,0.01300
256,0.01400
257,0.01300
258,0.01400
259,0.01400
260,0.01400
261,0.01400
262,0.01400
263,0.01400
264,0.01400
265,0.01500
266,0.01400
267,0.01400
268,0.01400
269,0.01400
270,0.01400
271,0.01500
272,0.01500
273,0.01500
274,0.01500
275,0.01500
276,0.01400
277,0.01500
278,0.01400
279,0.01500
280,0.01500
281,0.01500
282,0.01800
283,0.01500
284,0.01500
285,0.01500
286,0.01500
287,0.01500
288,0.01500
289,0.01500
290,0.01500
291,0.01600
292,0.01800
293,0.01500
294,0.01600
295,0.01500
296,0.01500
297,0.01500
298,0.01500
299,0.01600
300,0.01600
301,0.01600
302,0.01500
303,0.01600
304,0.01600
305,0.01600
306,0.01600
307,0.01700
308,0.01700
309,0.01600
310,0.01600
311,0.01600
312,0.01700
313,0.01600
314,0.01600
315,0.02300
316,0.01400
317,0.01500
318,0.01400
319,0.01500
320,0.01500
321,0.01500
322,0.01500
323,0.01500
324,0.01400
325,0.01500
326,0.01500
327,0.01500
328,0.01500
329,0.01500
330,0.01500
331,0.01500
332,0.01500
333,0.01500
334,0.01500
335,0.01500
336,0.01500
337,0.01600
338,0.01600
339,0.01600
340,0.01600
341,0.01600
342,0.01500
343,0.01600
344,0.01700
345,0.01600
346,0.01600
347,0.01500
348,0.01600
349,0.01600
350,0.01600
351,0.01600
352,0.01600
353,0.01600
354,0.01600
355,0.01600
356,0.01600
357,0.01600
358,0.01700
359,0.01600
360,0.01600
361,0.01700
362,0.01600
363,0.01600
364,0.01600
365,0.01700
366,0.01600
367,0.01700
368,0.01700
369,0.01700
370,0.01700
371,0.01700
372,0.01700
373,0.01700
374,0.01700
375,0.01600
376,0.01700
377,0.01700
378,0.01700
379,0.01700
380,0.01700
381,0.01700
382,0.01700
383,0.01700
384,0.01700
385,0.01800
386,0.01700
387,0.01800
388,0.01800
389,0.01800
390,0.01800
391,0.01800
392,0.01800
393,0.01800
394,0.01700
395,0.02000
396,0.01800
397,0.01800
398,0.01800
399,0.01800
400,0.01800
401,0.01800
402,0.01900
403,0.01800
404,0.01800
405,0.01900
406,0.01800
407,0.01800
408,0.01900
409,0.01900
410,0.01800
411,0.01800
412,0.01800
413,0.01900
414,0.01800
415,0.01900
416,0.01800
417,0.01900
418,0.01900
419,0.01900
420,0.01900
421,0.02000
422,0.01900
423,0.01900
424,0.01900
425,0.01900
426,0.01900
427,0.01900
428,0.01900
429,0.01900
430,0.02000
431,0.02000
432,0.02000
433,0.02000
434,0.02000
435,0.02000
436,0.01900
437,0.02000
438,0.02000
439,0.02000
440,0.03000
441,0.02200
442,0.02100
443,0.02100
444,0.02100
445,0.02200
446,0.02300
447,0.02200
448,0.02100
449,0.02100
450,0.02000
451,0.02100
452,0.02100
453,0.02100
454,0.02100
455,0.02100
456,0.02200
457,0.02100
458,0.02100
459,0.02200
460,0.02100
461,0.02100
462,0.02100
463,0.02200
464,0.02100
465,0.02200
466,0.02200
467,0.02200
468,0.02100
469,0.02100
470,0.02300
471,0.02200
472,0.02300
473,0.02200
474,0.02200
475,0.02200
476,0.02200
477,0.02200
478,0.02200
479,0.02200
480,0.02300
481,0.02200
482,0.02200
483,0.02200
484,0.02200
485,0.02200
486,0.02300
487,0.02200
488,0.02300
489,0.02300
490,0.02200
491,0.02300
492,0.02300
493,0.02300
494,0.02300
495,0.02300
496,0.02300
497,0.02400
498,0.02300
499,0.02300
500,0.02300
501,0.02300
502,0.02400
503,0.02300
504,0.02300
505,0.02400
506,0.02200
507,0.02400
508,0.02400
509,0.02400
510,0.02300
511,0.02400
512,0.02400
513,0.02300
514,0.02300
515,0.02400
516,0.02400
517,0.02400
518,0.02400
519,0.02400
520,0.02400
521,0.02400
522,0.02500
523,0.02400
524,0.02400
525,0.02400
526,0.02500
527,0.02500
528,0.02400
529,0.02400
530,0.02500
531,0.02500
532,0.02400
533,0.02500
534,0.02400
535,0.02500
536,0.02500
537,0.04200
538,0.02500
539,0.02600
540,0.02400
541,0.02500
542,0.02500
543,0.02500
544,0.02600
545,0.02600
546,0.02500
547,0.02500
548,0.02900
549,0.02600
550,0.02500
551,0.02600
552,0.02600
553,0.02500
554,0.02500
555,0.02600
556,0.02600
557,0.02500
558,0.02600
559,0.02700
560,0.02600
561,0.02600
562,0.02500
563,0.02600
564,0.02600
565,0.02600
