N,time[ms]
10,0.02600
11,0.00600
12,0.00600
13,0.00500
14,0.00400
15,0.00400
16,0.00400
17,0.00600
18,0.00500
19,0.00500
20,0.00500
21,0.00500
22,0.00500
23,0.00500
24,0.00600
25,0.00500
26,0.00500
27,0.00600
28,0.00600
29,0.00600
30,0.00600
31,0.00600
32,0.00600
33,0.00500
34,0.00600
35,0.00500
36,0.00500
37,0.00600
38,0.00600
39,0.00600
40,0.00600
41,0.00600
42,0.00600
43,0.00700
44,0.00700
45,0.00600
46,0.00600
47,0.00600
48,0.00700
49,0.00700
50,0.00700
51,0.00700
52,0.00600
53,0.00700
54,0.00600
55,0.00700
56,0.00600
57,0.00700
58,0.00700
59,0.00800
60,0.00700
61,0.00700
62,0.00700
63,0.00700
64,0.00700
65,0.00600
66,0.00800
67,0.00700
68,0.00700
69,0.00700
70,0.00700
71,0.00700
72,0.00700
73,0.00800
74,0.00700
75,0.00700
76,0.00700
77,0.00800
78,0.00700
79,0.00800
80,0.00800
81,0.00800
82,0.00800
83,0.00800
84,0.00800
85,0.00800
86,0.00700
87,0.00800
88,0.00800
89,0.00800
90,0.00800
91,0.01000
92,0.00800
93,0.00800
94,0.00800
95,0.00800
96,0.00800
97,0.00800
98,0.00800
99,0.00900
100,0.00800
101,0.00800
102,0.00900
103,0.00800
104,0.00900
105,0.01700
106,0.00700
107,0.00700
108,0.00600
109,0.00700
110,0.00700
111,0.00600
112,0.00700
113,0.00700
114,0.00700
115,0.00700
116,0.00700
117,0.00700
118,0.00700
119,0.00700
120,0.00700
121,0.00800
122,0.00700
123,0.00800
124,0.00700
125,0.00700
126,0.00700
127,0.00700
128,0.00700
129,0.00800
130,0.00700
131,0.00700
132,0.00800
133,0.00800
134,0.00800
135,0.00700
136,0.00700
137,0.00800
138,0.00800
139,0.00700
140,0.00800
141,0.00700
142,0.00800
143,0.00800
144,0.00800
145,0.00800
146,0.00800
147,0.00800
148,0.00800
149,0.00800
150,0.00800
151,0.00800
152,0.00800
153,0.00800
154,0.00700
155,0.00800
156,0.00800
157,0.00900
158,0.00800
159,0.00800
160,0.00800
161,0.00800
162,0.00800
163,0.00800
164,0.00900
165,0.00800
166,0.00800
167,0.00800
168,0.00800
169,0.00900
170,0.00800
171,0.00800
172,0.00900
173,0.00800
174,0.00800
175,0.00800
176,0.00900
177,0.00900
178,0.00800
179,0.00900
180,0.00800
181,0.00900
182,0.00900
183,0.00900
184,0.00900
185,0.00900
186,0.00900
187,0.00900
188,0.00900
189,0.00900
190,0.01000
191,0.00900
192,0.01000
193,0.01200
194,0.00900
195,0.00900
196,0.00900
197,0.01000
198,0.01000
199,0.01000
200,0.00900
201,0.01000
202,0.00900
203,0.01000
204,0.00900
205,0.00900
206,0.01000
207,0.00900
208,0.01000
209,0.00900
210,0.01000
211,0.00900
212,0.01000
213,0.01000
214,0.01000
215,0.01000
216,0.01000
217,0.01000
218,0.01000
219,0.01000
220,0.01000
221,0.01000
222,0.01000
223,0.01000
224,0.01100
225,0.01000
226,0.01000
227,0.01000
228,0.01000
229,0.01100
230,0.01100
231,0.01100
232,0.01000
233,0.01100
234,0.01100
235,0.01000
236,0.01100
237,0.01000
238,0.01100
239,0.01100
240,0.01000
241,0.01100
242,0.01100
243,0.01000
244,0.01100
245,0.01100
246,0.01200
247,0.01000
248,0.01100
249,0.01100
250,0.01200
251,0.01100
252,0.01100
253,0.01100
254,0.01100
255,0.01200
256,0.01100
257,0.01100
258,0.01100
259,0.01100
260,0.01100
261,0.01100
262,0.01100
263,0.01100
264,0.01100
265,0.01100
266,0.01200
267,0.01100
268,0.01200
269,0.01200
270,0.01200
271,0.01300
272,0.01200
273,0.01200
274,0.01200
275,0.01200
276,0.01200
277,0.01100
278,0.01300
279,0.01200
280,0.01200
281,0.01200
282,0.01200
283,0.01200
284,0.01100
285,0.01200
286,0.01200
287,0.01200
288,0.01200
289,0.01200
290,0.01200
291,0.01300
292,0.01200
293,0.01300
294,0.01300
295,0.01000
296,0.01000
297,0.01000
298,0.01000
299,0.01000
300,0.01000
301,0.01000
302,0.01100
303,0.01000
304,0.01000
305,0.01000
306,0.01000
307,0.01000
308,0.01000
309,0.01100
310,0.01100
311,0.01000
312,0.01100
313,0.01000
314,0.01100
315,0.01100
316,0.01000
317,0.01100
318,0.01000
319,0.01000
320,0.01100
321,0.01100
322,0.01000
323,0.01100
324,0.01000
325,0.01100
326,0.01100
327,0.01100
328,0.01100
329,0.01100
330,0.01000
331,0.01000
332,0.01100
333,0.01100
334,0.01100
335,0.01100
336,0.01100
337,0.01100
